date,predicted
2020-06-10,953
2020-06-11,1651
2020-06-12,1628
2020-06-13,1481
2020-06-14,1675
2020-06-15,2172
2020-06-16,2339
2020-06-17,2430
2020-06-18,2610
2020-06-19,2256
2020-06-20,1756
2020-06-21,1639
2020-06-22,2283
2020-06-23,2251
2020-06-24,2355
2020-06-25,2419
2020-06-26,2291
2020-06-27,2097
2020-06-28,2011
2020-06-29,2876
2020-06-30,3551
2020-07-01,2758
2020-07-02,2890
2020-07-03,3181
2020-07-04,2393
2020-07-05,2185
2020-07-06,2991
2020-07-07,4462
2020-07-08,3169
2020-07-09,2685
2020-07-10,2518
2020-07-11,2158
2020-07-12,1963
2020-07-13,2330
2020-07-14,2691
2020-07-15,2940
2020-07-16,2634
2020-07-17,2466
2020-07-18,2035
2020-07-19,1865
2020-07-20,2500
2020-07-21,2536
2020-07-22,2477
2020-07-23,2482
2020-07-24,2272
2020-07-25,2007
2020-07-26,1778
2020-07-27,2204
2020-07-28,2352
2020-07-29,2703
2020-07-30,2700
2020-07-31,2312
2020-08-01,1981
2020-08-02,1718
2020-08-03,2316
2020-08-04,2506
2020-08-05,2486
2020-08-06,2359
2020-08-07,1914
2020-08-08,1912
2020-08-09,1668
2020-08-10,2212
2020-08-11,2549
2020-08-12,2612
2020-08-13,2400
2020-08-14,2242
2020-08-15,1685
2020-08-16,1762
2020-08-17,2204
2020-08-18,2190
2020-08-19,2185
2020-08-20,2548
2020-08-21,2965
2020-08-22,2598
2020-08-23,2056
2020-08-24,2670
2020-08-25,2670
2020-08-26,2582
2020-08-27,2339
2020-08-28,2097
2020-08-29,1576
2020-08-30,1549
2020-08-31,1979
2020-09-01,2125
2020-09-02,2132
2020-09-03,2127
2020-09-04,1865
2020-09-05,1537
2020-09-06,1428
2020-09-07,1530
2020-09-08,2015
2020-09-09,2397
2020-09-10,2007
2020-09-11,1909
2020-09-12,1785
2020-09-13,1378
2020-09-14,1922
2020-09-15,2249
2020-09-16,2138
2020-09-17,1988
2020-09-18,1949
2020-09-19,1561
2020-09-20,1649
2020-09-21,2542
2020-09-22,3082
2020-09-23,2479
2020-09-24,2209
2020-09-25,1863
2020-09-26,1543
2020-09-27,1428
2020-09-28,1880
2020-09-29,2022
2020-09-30,1944
2020-10-01,1923
2020-10-02,1984
2020-10-03,1536
2020-10-04,1594
2020-10-05,1883
2020-10-06,2051
2020-10-07,2027
2020-10-08,2002
2020-10-09,1966
2020-10-10,1649
2020-10-11,1946
2020-10-12,1747
2020-10-13,2312
2020-10-14,2532
2020-10-15,2081
2020-10-16,2456
2020-10-17,2078
2020-10-18,1976
2020-10-19,2408
2020-10-20,2748
2020-10-21,2628
2020-10-22,2849
2020-10-23,2521
2020-10-24,2217
2020-10-25,1987
2020-10-26,2446
2020-10-27,2683
2020-10-28,2604
2020-10-29,2630
2020-10-30,2856
2020-10-31,2315
2020-11-01,2258
2020-11-02,2494
2020-11-03,3258
2020-11-04,3375
2020-11-05,3298
2020-11-06,3017
2020-11-07,2330
2020-11-08,2125
2020-11-09,2766
2020-11-10,2940
2020-11-11,2961
2020-11-12,2768
2020-11-13,2616
2020-11-14,1966
2020-11-15,1947
2020-11-16,2470
2020-11-17,2734
2020-11-18,3169
2020-11-19,3149
2020-11-20,2741
2020-11-21,2368
2020-11-22,2135
2020-11-23,2977
2020-11-24,3029
2020-11-25,2698
2020-11-26,2643
2020-11-27,2402
2020-11-28,1996
2020-11-29,1829
2020-11-30,2300
2020-12-01,2414
2020-12-02,2262
2020-12-03,2199
2020-12-04,2024
2020-12-05,1757
2020-12-06,1770
2020-12-07,2376
2020-12-08,2273
2020-12-09,2437
2020-12-10,2249
2020-12-11,2222
2020-12-12,1918
2020-12-13,1663
2020-12-14,2012
2020-12-15,2008
2020-12-16,1982
2020-12-17,1906
2020-12-18,1910
2020-12-19,1469
2020-12-20,1462
2020-12-21,1718
2020-12-22,1742
2020-12-23,1800
2020-12-24,1650
2020-12-25,1417
2020-12-26,1800
2020-12-27,1938
2020-12-28,2321
2020-12-29,2153
2020-12-30,2070
2020-12-31,1747
2021-01-01,1232
2021-01-02,1718
2021-01-03,1974
2021-01-04,2256
2021-01-05,2520
2021-01-06,2128
2021-01-07,2258
2021-01-08,2180
2021-01-09,1785
2021-01-10,1591
2021-01-11,1829
2021-01-12,2025
2021-01-13,1803
2021-01-14,1905
2021-01-15,1883
2021-01-16,1707
2021-01-17,2254
2021-01-18,2148
2021-01-19,2037
2021-01-20,1865
2021-01-21,1716
2021-01-22,1610
2021-01-23,1432
2021-01-24,1526
2021-01-25,1610
2021-01-26,1690
2021-01-27,1562
2021-01-28,1563
2021-01-29,1491
2021-01-30,1521
2021-01-31,1394
2021-02-01,1572
2021-02-02,1445
2021-02-03,1454
2021-02-04,1544
2021-02-05,1709
2021-02-06,1620
2021-02-07,1477
2021-02-08,1839
2021-02-09,1921
2021-02-10,1866
2021-02-11,1988
2021-02-12,663
